clientID,businessName,contactName,phoneNumber,email,address,state,zipcode,notes,industry,createdDate
431576571,"Edwards, Reynolds and Simmons",Emily Lucas,1+984-189-7686,"info@edwards,reynoldsandsimmons.com",55523 Dustin Trail Suite 926,KS,35195,Client requested more time to pay.,monetize e-business paradigms,2025-01-26
218417830,"Smith, Myers and Castro",Stephen James,1+470-247-3430,"info@smith,myersandcastro.com",643 Jones Spurs Apt. 770,MP,58777,Long-term client with consistent payments.,facilitate robust schemas,2025-01-26
430528187,Maynard and Sons,Jasmine Boyd,1+292-838-4933,info@maynardandsons.com,7107 Katherine Mission Suite 661,AZ,25182,Long-term client with consistent payments.,whiteboard revolutionary interfaces,2025-01-26
950241012,Watkins-Peters,Daniel Wood,1+283-666-2192,info@watkins-peters.com,10765 Ryan Mountain Suite 104,AS,06383,VIP client with frequent orders.,orchestrate transparent networks,2025-01-26
136756565,"Shaw, Baker and Lambert",Stephen Berger,1+598-920-7828,"info@shaw,bakerandlambert.com",955 Kelli Courts Suite 903,TX,51387,VIP client with frequent orders.,synergize sticky web services,2025-01-26
470656998,"Torres, Elliott and Hood",Dale Parker,1+259-361-9606,"info@torres,elliottandhood.com",311 Harold Mall,HI,88954,VIP client with frequent orders.,drive vertical bandwidth,2025-01-26
909714659,"Scott, Raymond and Arnold",Matthew Hoffman,1+114-612-8439,"info@scott,raymondandarnold.com",951 Dawson Path,WI,09313,Client requested more time to pay.,optimize B2C networks,2025-01-26
333088983,Williams PLC,Monica Stephens,1+164-905-4208,info@williamsplc.com,4994 Michael Ports Apt. 873,MT,13323,VIP client with frequent orders.,synthesize strategic platforms,2025-01-26
167459006,Solis-Johnston,Christopher Gutierrez,1+319-508-7707,info@solis-johnston.com,330 Lauren Parkway Apt. 106,AR,72507,Client contacted us for an estimate.,integrate scalable communities,2025-01-26
874451667,Bruce-Alvarez,Stephanie Parker,1+405-691-5428,info@bruce-alvarez.com,741 Christopher Flats Suite 062,NH,89539,Client contacted us for an estimate.,iterate extensible synergies,2025-01-26
236873875,Wells-Rhodes,Cynthia Robinson,1+787-352-2844,info@wells-rhodes.com,827 Daniel Branch,RI,85364,Client requested more time to pay.,empower B2C info-mediaries,2025-01-26
392499364,Davis-Blake,Christopher Curry,1+581-186-2092,info@davis-blake.com,0775 Johnson Junctions Suite 704,AS,10328,Long-term client with consistent payments.,deliver integrated interfaces,2025-01-26
712010618,Wood-Schultz,Jennifer Burton,1+391-271-2328,info@wood-schultz.com,692 Nelson Lodge,MT,95501,Client requested more time to pay.,enhance killer communities,2025-01-26
565493119,"Martinez, Nguyen and Hobbs",Brad Adams,1+133-807-5185,"info@martinez,nguyenandhobbs.com",890 Mary Stravenue Suite 103,MN,48274,"Recently onboarded client, requires follow-up.",benchmark open-source platforms,2025-01-26
127378536,"Chavez, Thomas and Ford",George Miller,1+342-819-9255,"info@chavez,thomasandford.com",57802 Page Loaf Apt. 736,WI,22609,Client requested more time to pay.,optimize innovative metrics,2025-01-26
283435930,Hicks Ltd,Robert Young,1+286-573-1940,info@hicksltd.com,764 Graham Passage Apt. 552,FM,50492,Client contacted us for an estimate.,deliver transparent partnerships,2025-01-26
869394985,Hopkins Group,Beth Rollins,1+397-670-8887,info@hopkinsgroup.com,5088 Eric Lodge,PR,46676,Client requested more time to pay.,harness virtual convergence,2025-01-26
395807939,Jackson Group,David Morales,1+811-751-5503,info@jacksongroup.com,337 Samantha Trail,CO,25075,"Recently onboarded client, requires follow-up.",utilize bleeding-edge functionalities,2025-01-26
121927622,"Brown, Berry and Moody",Kristi Johnson,1+576-915-5067,"info@brown,berryandmoody.com",829 Jim Locks Suite 076,OR,59809,Long-term client with consistent payments.,enable 24/365 bandwidth,2025-01-26
850375692,"Lopez, Williams and Davis",David Fox,1+972-673-2950,"info@lopez,williamsanddavis.com",73617 Robbins Bypass Apt. 019,OR,94142,Client contacted us for an estimate.,synergize dynamic solutions,2025-01-26
371639548,Lane-Carpenter,Yolanda Wood,1+369-279-5699,info@lane-carpenter.com,48204 Taylor Loop,CA,69644,Long-term client with consistent payments.,revolutionize virtual eyeballs,2025-01-26
934818499,Wang-Todd,John Dudley,1+321-680-7657,info@wang-todd.com,8420 Paul Harbors,AR,44944,Long-term client with consistent payments.,mesh sticky systems,2025-01-26
135904230,Willis-Gallagher,Emily Rangel,1+812-525-9462,info@willis-gallagher.com,9997 Brooks Fords Suite 185,SD,73907,Client contacted us for an estimate.,enhance innovative initiatives,2025-01-26
926132812,Mitchell Ltd,Derek King,1+374-441-9766,info@mitchellltd.com,528 Joseph Center,CA,82491,Client contacted us for an estimate.,drive front-end deliverables,2025-01-26
356475942,"Miller, Williams and Davis",Emily Ward,1+311-846-8468,"info@miller,williamsanddavis.com",01574 Rebecca Circle Suite 271,WY,74474,Client contacted us for an estimate.,monetize revolutionary networks,2025-01-26
869977401,Reynolds Group,Thomas Steele,1+749-573-9264,info@reynoldsgroup.com,24914 Gonzalez Street,ID,29272,Client requested more time to pay.,leverage open-source action-items,2025-01-26
437595940,Lee-Carlson,Cynthia Holt,1+275-919-1686,info@lee-carlson.com,5633 Bethany Causeway Apt. 446,MD,11856,Client requested more time to pay.,embrace clicks-and-mortar supply-chains,2025-01-26
886683919,Nguyen Group,Dawn Marsh,1+759-458-9923,info@nguyengroup.com,05137 Karen Pines Apt. 958,CA,57516,Long-term client with consistent payments.,enhance holistic e-services,2025-01-26
847827935,Mann PLC,Jamie Nash,1+785-250-4576,info@mannplc.com,662 Marie Skyway Suite 512,OK,86383,Client contacted us for an estimate.,reinvent sticky experiences,2025-01-26
658614712,Duran-Boyd,Rebecca Robinson,1+959-753-9936,info@duran-boyd.com,2440 Reilly Creek Apt. 390,MP,70999,Long-term client with consistent payments.,implement vertical deliverables,2025-01-26
898906456,"Buckley, Smith and Potts",Alan Campbell,1+768-890-2197,"info@buckley,smithandpotts.com",36590 King Trace,KS,87648,Long-term client with consistent payments.,enable intuitive mindshare,2025-01-26
864834601,"Carpenter, Barnett and Little",Amy Gray,1+344-468-2114,"info@carpenter,barnettandlittle.com",289 Robert Spring,IN,84174,Client contacted us for an estimate.,deliver ubiquitous networks,2025-01-26
433664786,"Walker, Mays and Martin",Lindsey Daniels,1+159-126-2901,"info@walker,maysandmartin.com",968 Renee Estate,AS,14574,"Recently onboarded client, requires follow-up.",productize clicks-and-mortar e-services,2025-01-26
705790170,Peters Ltd,Anthony Park,1+402-661-1775,info@petersltd.com,736 Knight Valley,TN,82907,VIP client with frequent orders.,engineer B2C users,2025-01-26
277088341,Mcdaniel-Smith,Kristin Jimenez,1+308-955-6663,info@mcdaniel-smith.com,9978 Petersen Pass Apt. 128,TX,97417,"Recently onboarded client, requires follow-up.",optimize distributed channels,2025-01-26
877895731,Decker-Ramos,Amanda Mendoza,1+514-499-4189,info@decker-ramos.com,89820 Nelson Mall Suite 905,WI,95797,"Recently onboarded client, requires follow-up.",e-enable bricks-and-clicks info-mediaries,2025-01-26
252185773,"Powell, Soto and Miller",Samantha Gilmore MD,1+291-212-8044,"info@powell,sotoandmiller.com",3035 Denise Spur Suite 616,IN,30880,VIP client with frequent orders.,enhance cross-platform users,2025-01-26
149021125,Alvarez-Horton,Abigail Smith MD,1+130-555-6131,info@alvarez-horton.com,2955 Anderson Lodge Suite 839,VI,25511,VIP client with frequent orders.,utilize e-business supply-chains,2025-01-26
681258162,"Cummings, Keller and Price",Tristan Farrell,1+421-246-1798,"info@cummings,kellerandprice.com",22183 Miguel Isle,DC,34970,Client requested more time to pay.,monetize extensible supply-chains,2025-01-26
557469837,Le-Kemp,Laura Rhodes,1+697-271-7695,info@le-kemp.com,944 Anthony Branch,NM,35254,Client contacted us for an estimate.,brand impactful methodologies,2025-01-26
403449779,"Webster, Hatfield and Farmer",Jose Fields,1+187-800-4854,"info@webster,hatfieldandfarmer.com",542 Amanda Mission,MD,94548,"Recently onboarded client, requires follow-up.",revolutionize synergistic initiatives,2025-01-26
773525164,"Boyd, Reese and Harris",Justin Walker,1+511-457-5730,"info@boyd,reeseandharris.com",0339 Michele Village Apt. 976,RI,71491,Client requested more time to pay.,mesh robust relationships,2025-01-26
508210084,Guzman-Fox,Hannah Burke,1+442-233-7112,info@guzman-fox.com,399 Susan Tunnel Apt. 765,WI,32352,Long-term client with consistent payments.,expedite distributed models,2025-01-26
917356247,Flynn LLC,Joseph Johnson,1+307-639-5473,info@flynnllc.com,352 Jeremiah Island Apt. 751,WV,49868,Client contacted us for an estimate.,transform back-end partnerships,2025-01-26
105843646,"Burgess, Howard and Hall",Laura Ruiz,1+861-191-9971,"info@burgess,howardandhall.com",7115 Matthew Turnpike,GA,72673,Client contacted us for an estimate.,facilitate dynamic channels,2025-01-26
724678765,Bell Ltd,David Brown,1+142-903-3412,info@bellltd.com,507 Morrison Summit,SD,56139,Long-term client with consistent payments.,scale virtual e-markets,2025-01-26
560834127,Kim PLC,Richard Thomas,1+176-526-8679,info@kimplc.com,0465 Rachel Prairie Suite 851,NY,98798,Long-term client with consistent payments.,integrate proactive ROI,2025-01-26
888167617,"Costa, Davidson and Acosta",Jillian Walker DDS,1+373-834-3106,"info@costa,davidsonandacosta.com",26245 Gary Villages,WA,89166,Long-term client with consistent payments.,aggregate value-added supply-chains,2025-01-26
503264433,Hutchinson and Sons,Charles Berry,1+784-730-9885,info@hutchinsonandsons.com,135 Mary Rest,OH,22152,Long-term client with consistent payments.,extend mission-critical e-commerce,2025-01-26
600892785,Thompson-Richards,Thomas Perez,1+344-666-8434,info@thompson-richards.com,556 Tyler Park Suite 089,VA,96488,Client requested more time to pay.,productize integrated users,2025-01-26
195141585,Carney Ltd,Jennifer Kerr DVM,1+166-697-6353,info@carneyltd.com,385 Lynn Grove,IN,41214,VIP client with frequent orders.,e-enable user-centric ROI,2025-01-26
917581195,"Lambert, Diaz and Evans",Margaret Lopez,1+499-295-8037,"info@lambert,diazandevans.com",69242 Mitchell Shoal,PR,89351,Client requested more time to pay.,orchestrate distributed e-business,2025-01-26
570135800,Harris Group,Dr. Bradley Harrington MD,1+454-453-4081,info@harrisgroup.com,990 Lisa Fields Suite 732,TN,83566,"Recently onboarded client, requires follow-up.",brand best-of-breed markets,2025-01-26
445793919,Reed-Knight,Lori Burgess,1+397-109-6419,info@reed-knight.com,0931 Erin Knoll,TX,19322,VIP client with frequent orders.,enhance e-business e-business,2025-01-26
751632012,Parks LLC,Paul Paul,1+855-634-6361,info@parksllc.com,8830 Hanson Way,WI,61573,Client contacted us for an estimate.,integrate transparent content,2025-01-26
616054262,Potts PLC,Stephen Rodriguez MD,1+438-604-9900,info@pottsplc.com,119 Williams Canyon Apt. 951,NE,50767,Client requested more time to pay.,reinvent seamless e-services,2025-01-26
913148803,Allen-Johnson,Michelle Morales,1+852-176-3327,info@allen-johnson.com,8317 Carney Bridge,IN,52734,Client contacted us for an estimate.,exploit innovative partnerships,2025-01-26
418154279,"Terry, Roberts and Lawrence",Mr. Robert Cobb,1+879-631-7508,"info@terry,robertsandlawrence.com",8188 Lee Squares Apt. 693,IN,82316,Client contacted us for an estimate.,integrate visionary schemas,2025-01-26
383255320,Morales-Soto,Claire Medina,1+509-310-8242,info@morales-soto.com,67686 Thompson Haven,MT,58858,VIP client with frequent orders.,cultivate global solutions,2025-01-26
472737330,Santiago-Medina,Christopher Quinn,1+848-819-2428,info@santiago-medina.com,26001 Carroll Green,NY,63864,VIP client with frequent orders.,cultivate mission-critical initiatives,2025-01-26
216452348,Terry-Wolfe,Michael Allen,1+703-450-9127,info@terry-wolfe.com,563 Sims Pass Apt. 806,AL,82320,Client contacted us for an estimate.,brand collaborative systems,2025-01-26
797294422,"King, Morgan and Torres",James Anderson II,1+262-473-5031,"info@king,morganandtorres.com",71687 Kevin Glens Suite 712,WY,33418,VIP client with frequent orders.,scale magnetic technologies,2025-01-26
507722356,Lane PLC,Kerry Collins,1+627-427-5626,info@laneplc.com,5503 Zimmerman Circle Suite 168,NC,69363,Long-term client with consistent payments.,benchmark robust info-mediaries,2025-01-26
740005681,Wright LLC,Julian Lynn,1+724-256-7992,info@wrightllc.com,1604 Andrea Station Suite 604,HI,40468,VIP client with frequent orders.,strategize bleeding-edge applications,2025-01-26
556847796,"Taylor, Davis and Middleton",Brian Acosta,1+818-339-1089,"info@taylor,davisandmiddleton.com",46842 Jonathon Summit Suite 626,IL,76776,Client requested more time to pay.,harness mission-critical interfaces,2025-01-26
692895535,Castro-Cohen,Brandy Maldonado,1+302-638-8802,info@castro-cohen.com,326 Bush Stravenue,MT,21358,"Recently onboarded client, requires follow-up.",embrace synergistic experiences,2025-01-26
541652457,"Walker, Page and Williamson",Michael Smith,1+667-693-9438,"info@walker,pageandwilliamson.com",054 Moss Ville Suite 936,AK,78762,Client requested more time to pay.,revolutionize scalable synergies,2025-01-26
333003943,Johnson-Cohen,Amanda Sosa,1+783-197-9049,info@johnson-cohen.com,4280 Heath Avenue,NE,75172,Client requested more time to pay.,repurpose interactive networks,2025-01-26
942585125,"Robinson, Singh and Dixon",Felicia Smith,1+169-186-6253,"info@robinson,singhanddixon.com",961 Kayla Dale Apt. 101,RI,51432,Client requested more time to pay.,synthesize front-end niches,2025-01-26
830620847,Rios Ltd,John Davis,1+990-864-4104,info@riosltd.com,36010 Craig Parkway,KY,17369,Client contacted us for an estimate.,embrace cutting-edge interfaces,2025-01-26
633085578,"Christensen, Rodriguez and White",Kevin Nelson,1+746-827-1914,"info@christensen,rodriguezandwhite.com",161 Patrick Coves Apt. 061,NH,75858,Client contacted us for an estimate.,syndicate integrated relationships,2025-01-26
699979961,"Chavez, Smith and Johnson",Richard Carter,1+249-148-8880,"info@chavez,smithandjohnson.com",5860 Gonzales Circles,NE,69627,Long-term client with consistent payments.,morph proactive mindshare,2025-01-26
976446945,"Marsh, Garcia and Jensen",Carmen Dixon,1+378-720-5413,"info@marsh,garciaandjensen.com",359 Sean Corners,SD,64044,VIP client with frequent orders.,utilize collaborative networks,2025-01-26
423412966,Jackson PLC,Rebecca Perry,1+264-860-3536,info@jacksonplc.com,049 Michael Row,NE,60647,"Recently onboarded client, requires follow-up.",revolutionize killer architectures,2025-01-26
177630991,Miller Group,Randall Mason,1+313-389-8028,info@millergroup.com,878 Kimberly Keys Apt. 902,GU,06288,VIP client with frequent orders.,monetize cross-media web-readiness,2025-01-26
655141963,Butler and Sons,Lisa Tran,1+150-709-6196,info@butlerandsons.com,048 Williams Falls,PR,69010,Client contacted us for an estimate.,iterate seamless channels,2025-01-26
451310954,Baker Ltd,Marissa Noble,1+848-504-6595,info@bakerltd.com,5815 Katelyn Locks Apt. 316,WA,83148,VIP client with frequent orders.,unleash leading-edge communities,2025-01-26
775394302,Gaines-Kirk,Ashley Anderson,1+630-949-4211,info@gaines-kirk.com,1006 Mullins Causeway Suite 165,ND,45393,Long-term client with consistent payments.,reinvent dynamic info-mediaries,2025-01-26
639538326,"Hanson, Green and Phillips",Sean Ryan,1+247-411-5495,"info@hanson,greenandphillips.com",884 Lawson Rapids,AS,92659,"Recently onboarded client, requires follow-up.",scale clicks-and-mortar initiatives,2025-01-26
509971095,Anderson-Evans,Whitney Johnson,1+549-788-8969,info@anderson-evans.com,7097 Gilbert Walk Suite 714,CO,04160,Long-term client with consistent payments.,expedite proactive channels,2025-01-26
124838872,Harris-Humphrey,Jamie Ewing,1+622-701-5843,info@harris-humphrey.com,894 Little Fort Suite 033,PA,21749,Long-term client with consistent payments.,grow enterprise interfaces,2025-01-26
831703924,"Abbott, Gonzales and Taylor",David Alvarez,1+844-570-1161,"info@abbott,gonzalesandtaylor.com",598 Thomas Ways,NH,91524,Long-term client with consistent payments.,expedite plug-and-play action-items,2025-01-26
811978359,Donovan-Williams,Melanie Ramirez,1+354-478-7450,info@donovan-williams.com,820 Miller Corner Suite 618,PA,02076,Client requested more time to pay.,deploy end-to-end mindshare,2025-01-26
315720440,Rodriguez PLC,Jacob Macdonald,1+348-166-4736,info@rodriguezplc.com,76264 Gardner Orchard Suite 153,KS,39575,VIP client with frequent orders.,iterate user-centric technologies,2025-01-26
294444570,Stewart and Sons,Jason Johnson PhD,1+123-569-8136,info@stewartandsons.com,9450 Stewart Vista,UT,62230,Client requested more time to pay.,expedite one-to-one channels,2025-01-26
244759261,"Mack, Contreras and Barton",Jacob Campbell,1+928-354-9822,"info@mack,contrerasandbarton.com",439 Chapman Wall Apt. 033,OH,14926,"Recently onboarded client, requires follow-up.",drive magnetic infrastructures,2025-01-26
